cityName,country,lat,lng,temp,minTemp,maxTemp,seaLevel,grndLevel,humidity,cloudiness,winds,windDegrees,date
Ahuimanu,US,21.44,-157.84,80.02,77.0,82.04,,,66,40,12.75,70.0,2018-11-12
Colon,US,41.3,-96.61,24.49,23.0,24.98,,,56,90,14.99,330.0,2018-11-12
Abilene,US,32.45,-99.73,33.66,33.26,33.98,,,69,90,19.46,360.0,2018-11-12
Ketchikan,US,55.34,-131.65,50.38,46.04,53.96,,,73,1,9.17,60.0,2018-11-12
Kapaa,US,22.08,-159.32,79.86,78.98,80.96,,,49,75,13.87,60.0,2018-11-12
Tucumcari,US,35.17,-103.73,30.92,30.92,30.92,,,63,90,9.17,70.0,2018-11-12
North Bend,US,43.41,-124.22,64.94,64.94,64.94,,,26,1,2.8,111.001,2018-11-12
North Platte,US,41.12,-100.77,32.0,32.0,32.0,,,37,1,12.75,350.0,2018-11-12
Bethel,US,60.79,-161.76,23.0,23.0,23.0,,,95,75,13.87,30.0,2018-11-12
New Castle,US,41.0,-80.35,39.25,35.96,42.08,,,55,90,3.36,140.0,2018-11-12
Warren,US,42.48,-83.03,40.33,38.48,42.08,,,49,90,3.36,220.0,2018-11-12
Lewiston,US,46.42,-117.02,41.61,41.0,42.08,,,52,1,6.93,140.0,2018-11-12
Juneau,US,58.3,-134.42,43.75,42.08,44.96,,,85,90,14.99,100.0,2018-11-12
Kodiak,US,39.95,-94.76,26.96,26.96,26.96,,,68,90,18.34,350.0,2018-11-12
Ukiah,US,39.15,-123.21,68.0,68.0,68.0,,,9,1,2.64,100.501,2018-11-12
Pacific Grove,US,36.62,-121.92,73.15,68.0,75.92,,,15,1,1.86,100.001,2018-11-12
Port Huron,US,42.98,-82.44,40.86,40.64,41.0,,,60,90,8.46,231.001,2018-11-12
Marion,US,38.35,-97.02,25.59,24.98,26.06,,,74,90,20.8,360.0,2018-11-12
Astoria,US,46.19,-123.83,60.98,60.98,60.98,,,30,1,11.41,90.0,2018-11-12
Destin,US,30.39,-86.5,74.7,73.04,75.92,,,93,90,9.17,200.0,2018-11-12
Pleasanton,US,37.66,-121.87,66.58,64.4,69.8,,,34,1,4.09,65.0015,2018-11-12
Nampa,US,43.57,-116.56,45.07,44.06,46.4,,,24,1,3.42,186.501,2018-11-12
Fairmont,US,40.64,-97.59,24.53,23.0,25.52,,,57,20,17.22,360.0,2018-11-12
Santa Barbara,US,34.42,-119.7,77.49,75.02,78.98,,,11,1,10.29,230.0,2018-11-12
Hilo,US,19.71,-155.08,71.64,68.36,75.92,,,76,90,8.05,260.0,2018-11-12
Elko,US,40.83,-115.76,41.0,41.0,41.0,,,28,1,2.35,288.501,2018-11-12
Venice,US,27.1,-82.45,82.45,82.04,82.94,,,74,1,8.05,200.0,2018-11-12
Merrill,US,42.03,-121.6,53.96,53.96,53.96,,,14,1,3.65,92.0015,2018-11-12
Ada,US,47.3,-96.52,11.8,8.6,14.0,,,56,1,6.93,300.0,2018-11-12
Lively,US,33.6,-99.18,36.15,36.15,36.15,1043.91,998.54,80,88,26.13,7.50146,2018-11-12
Steamboat Springs,US,40.48,-106.83,27.03,21.2,30.92,,,37,40,4.7,350.0,2018-11-12
Kahului,US,20.89,-156.47,80.28,75.92,84.92,,,49,20,17.22,50.0,2018-11-12
